title,abstract
A card-based design tool for supporting design thinking in elementary students,"Although educational robotics competitions have become a popular research field in STEAM education, there is a lack of studies concerning the design process that student teams follow to build their solutions. This study aims to propose and evaluate We!Design!ForSTEAM, an approach for supporting design thinking in the context of STEAM and robotics competitions for elementary school students based on a card-based design game. The proposed methodology is derived from participatory design approaches. It is based on 40 design cards, which aim to empower elementary students to empathize with the problem and ideate creatively and efficiently for identifying solutions. It was applied in 6 sessions with the participation of 31 elementary students preparing for an open educational robotics competition. Questionnaires and focus groups were used to gather data from the students who argued that the proposed approach allowed them to explore the problem in an unexpected, creative, and productive way. They managed to identify complex problems and produce innovative solutions utilizing a structured design process with ideation probes. Weaknesses of the framework, primarily focused on time management, were also identified and reported. We suggest that the proposed approach is a first step to creating design thinking methodologies for elementary students in educational robotics and STEAM."
G-ARM: An open-source and low-cost robotic arm integrated with ROS2 for educational purposes,"The high cost of industrial robots limits their accessibility in academic settings. This research addresses this by developing a low-cost, 3D-printable robotic arm for educational use, designed using the open-source tool FreeCAD and affordable hardware components. The robot is integrated with ROS 2 Humble and MoveIt 2, enabling motion planning and control, and includes a simulator for virtual testing and prototyping. The robot was evaluated over eight months in the Industrial Robotics and Software Architectures for Robots courses at Rey Juan Carlos University. It demonstrated durability, ease of use, and practical feasibility, making it a suitable platform for training robotics professionals. This work highlights the potential of affordable robotics to enhance education and provides a scalable, replicable solution for academic institutions."
Robotics Meets AI and Vision in South America (Topical Collection),"The integration of robotics research with Artificial Intelligence (AI) and Computer Vision (CV) has enabled the solution of practical tasks previously challenging with traditional techniques. This interdisciplinary approach focuses on developing intelligent computational systems for decision-making, planning, and object recognition, minimizing human intervention in various domains like e-commerce, healthcare, industry, and more. South American researchers contribute significantly, with emphasis on emerging AI technologies such as Deep Learning, statistical methods, and computer vision applied to robotics. The works within this collection highlight the increasing prominence of robotics in education, with it becoming a part of basic education, and discuss a topical collection showcasing research presented at Latin American robotics events in 2021. The papers cover diverse topics, including altitude control for hybrid aerial-underwater vehicles, robust localization in challenging environments, cross-domain localization for underwater robots, image-based navigation for agricultural rovers, continuous training of educators in Educational Robotics, and the role of robotic simulators in education. The collection aims to disseminate cutting-edge robotics research and foster collaboration in the field."
Physical Bits: A Live Programming Environment for Educational Robotics,"The use of physical computing devices as teaching tools presents several challenges for educators and learners. Most introductory programming environments help to learn programming by removing the possibility of syntax errors, usually by using a visual programming language. However, understanding syntax is just one aspect of the learning process. One of the most challenging tasks for students is to build a correct mental model of the underlying machine model and its execution dynamics. Additionally, visual programming languages present issues when transitioning to text-based languages. In this paper we present Physical Bits, a web-based programming environment for educational robotics that attempts to solve these issues by providing a live programming experience using both visual and textual programming languages."
A gender differential analysis of educational robots’ effects on primary teachers’ computational thinking: Mediating effect of programming attitudes,"There has been a global consensus to develop computational thinking (CT) in primary education, but the biggest obstacle to promoting CT is teachers’ lack of sufficient CT. This study explored the effects of micro: bit educational robotics (MER) programming activities on primary teachers’ CT and programming attitudes (PA) while considering the teachers’ gender effects. We implemented a single-group pre-test and post-test experiment with 56 primary teachers in China. We also measured teachers’ CT and PA levels before and after the MER activities intervention. The results showed that MER activities significantly enhanced teachers’ CT and PA and had different effects on each dimension of their CT and PA. The analysis of variance by gender showed that male teachers had significantly higher overall CT and PA scores than female teachers. However, female teachers performed better on collaborative skills in CT, indicating that female teachers also have the potential to develop CT. In addition, we found the mediating effects of PA, which means that MER activities affect CT through PA. Furthermore, PA predicted CT positively, suggesting that PA could be a key factor in enhancing CT. This study clarified the mechanism of gender and PA influence on CT during the MER activities intervention, which provides references for future researchers to conduct teacher training."
"A Novel Approach to Teaching Theory Control: Integrating STEM Education, Mobile Robot Simulation, and Bio-inspired Optimization","In the context of engineering education, imparting control theory poses a significant challenge, especially for students lacking prior knowledge in the domain. This paper addresses this issue by introducing a novel approach for teaching control theory using STEM (Science, Technology, Engineering, and Mathematics) education, mobile robot simulator, and bio-inspired optimization. The paper identifies the lack of prior knowledge in control theory as a barrier to effective instruction and proposes a work approach that combines theoretical discussions, hands-on practical exercises, and tests, allowing students to progressively delve into control theory concepts. The study’s results demonstrate a statistical significance positive correlation between students’ performance in practical exercises and test outcomes. By providing a comprehensive framework for teaching control theory in a practical and engaging manner, this research contributes to bridging the gap in control theory education for students from diverse backgrounds."
Turing Machine Development for High Protected Remote Control of the IoT Mobile Platform,"The issues of IoT networks and systems privacy considered with particular focus on mobile robotics remote control. Despite the IT-cybersecurity significant progress, new tasks and threats emerge, such as unmanned mobile devices of mass disposable with remote control, for which known approaches are not efficient enough. In this respect, a novel Turing machine-based method has been developed in this work for high-protected remote control of an IoT mobile platform. An original flow-chart of IoT mobile platform control introduced. A special system-interoperability model originated for IoT-platform remote communication. A Turing machine formalism defined for flexible frame encoding, along with a sender-receiver interaction protocol. A Turing machine tags-table specified on the set of ternary alphabet-symbols, as well as a formal grammar syntax for volatile frame encoding with two typical patterns. A Turing machine algorithm has been constructed for high-protected control of a robotics mobile platform. Due to this, special mobile objects can apply unique low-cost encryption schemes of unpredictable frame encoding to make communication channel harder to hack. The results of the work intend to improve the mobile objects cyber-threats protection, as well as to remote vehicle control and other real-time IoT-applications."
Overview of Tools for Programming and Virtual Simulation of Robots Within the STEM Teaching Process,"Robotics has proven to be a powerful learning tool, not only as a subject of study and an engineering branch, but also for general aspects of studying STEM disciplines. There are numerous areas of engineering technique and science that are included in the STEM concepts of education based on the application of robotics, such as: sensors and actuators, voice recognition, image processing, new technologies in general, the Internet of Things, smart devices, the digital world as a whole, Industry 4.0/5.0, etc. The inclusion of virtual programming environments and simulators in the teaching of robotics can eliminate many limitations, and enable a larger number of students to simultaneously have access to quality teaching at the same level. This paper presents an overview of several robotics programming environments and simulators, which can be an excellent tool for teaching STEM disciplines through programming, modeling and simulating different robots."
The role of task designs on problem-solving and computational thinking processes in elementary school education,"In elementary school classrooms, Computational Thinking (CT) teaching often is embedded in problem- or project-based pedagogies and involves programming using Educational Robotics. Little is known, however, about how children solve problems in these contexts, and how task designs influence which CT and problem-solving processes they apply. In this study, we examined children’s problem-solving and enactment of CT processes in two different task contexts. We analyzed talk and actions of 16 pairs of 8- and 9-year-old children who programmed robots in distinct task contexts: a more structured context (a simulation task) vs. a more open-ended context (a path-finding task). Results showed that in the path-finding task children used increasingly lower-level problem-solving steps and more frequently relied on trial-and-error approaches. A contrasting profile was found in the simulation task. We link the contrasting profiles to task designs and contextual factors. We call for empirical studies of classroom learning activities that enable children to create models of CT teaching, so as to support instructional designers and teachers in the development of task designs aligned with instructional goals and children’s problem-solving and CT skills."
Analysis of Software for Development and 2D/3D Modeling of Robotic Systems in Academia and Industry,"The work is devoted to the review and analysis of software for designing control programs and 2D/3D modeling of the mobile robots for academic and industrial applications. A generalized structural diagram of the hierarchical mobile robot control system with decentralized software processing of information and separate software and hardware components located remote from each other are presented in the paper. Various programming environments which represent a wide range of tools for creating different types models and systems are considered for building the mobile robots and their control systems. Moreover, the issues of using graphic and text software environments with high-level programming languages have been reviewed. LabView, EV3-G, TRIK Studio, ROBO Pro, Arduino and Scratch were considered among the integrated development environments. Player/Stage, Gazebo, RoboDK and others were considered among the software packages for modeling the operation of the mobile robots. Presented examples of academic and industrial software are analyzed according to the following criteria: mathematical expressions, computational models, interpretation, standalone use, code generation, debugging, tutorials, free, platforms, constructors and development prospects. And also robotic systems simulators are considered as tools for testing the efficiency, safety and reliability of control algorithms through 2D and 3D simulations."
Automatic Competitions in the Unibotics Open Online Robot Programming Web,"This paper presents a gamification extension for the Unibotics educational robotics web platform, which provides the ability to organize online international competitions about robot programming. Unibotics includes several robotics challenges, the robots may be programmed in Python from the browser. It is ROS-based, cross-platform and uses Gazebo robotics simulator. The competition process has been fully automated creating an auxiliary user, named CeremonyMaster, which may load and run the submitted code from all the participants, and evaluate them providing a score depending on their performances when solving the challenge. At the same time the live results can be seen at a dynamic web page and the whole unfolding of the tournament is broadcasted through Twitch. The underlying goal of this extension is to increase the motivation and learning engagement of university students in computer science or robotics engineering areas. The extension has been experimentally validated with a first competition and more than 50 university students. The proposed challenge was to program a Formula 1 car, endowed with a camera, to follow a red line along a race circuit, the faster the better."
Educational Robotics for Creating “Tangible Simulations”: A Mixed Reality Space for Learning the Day/Night Cycle,"Human cognition is guided and shaped by the physical manifestation of objects around us- acting and thinking are intertwined. By integrating digital interactions to the physical world, we improve the potential to perceive and understand objects, spaces and notions and we facilitate the creation of mental representations since these are directly influenced by the way we bodily interact with objects. The integration of educational robotics, mixed reality and tangible interfaces provides us with a fertile ground on which to develop new learning scenarios. Astronomical phenomena, from the simplest to the most obscure include difficult to grasp concepts for which learners usually develop strong misconceptions. In this paper, we propose the use of educational robotics as a tangible simulation tool of the Earth’s movements, in a mixed reality space for learning the day/night cycle. In order to evaluate the proposed environment, a pilot study was conducted with sixteen elementary students. Data were collected through pre/post tests, an attitudes questionnaire and semi-formal group interviews. Students’ answers indicated that they were excited with and impressed by the proposed intervention while the gained invaluable knowledge about the day/night cycle."
Education in the AI era: a long-term classroom technology based on intelligent robotics,"Artificial Intelligence (AI) will have a major social impact in the coming years, affecting today’s professions and our daily routines. In the short-term, education is one of the most impacted areas. The autonomous decision making that can be achieved with tools based on AI implies that some of the traditional methodologies associated with the fundamentals of the learning process in students, must be reviewed. Consequently, the role of teachers in the classroom may change, as they will have to deal with such AI tools performing parts of their work, and with students making a common use of them. In this scope, the AI in Education (AIEd) community agrees on the key relevance of developing AI literacies to train teachers and students of all educational levels in the fundamentals of this new technological discipline, so they can understand how these tools based on AI work and pilot the adaptation in an informed way. This implies teaching students about the fundamentals of topics like perception, representation, reasoning, learning, and the impact of AI, with the aim of delivering a solid formation in this area. To support them, formal teaching and learning resources must be developed and tested with students, properly adapted to different educational levels. The main contribution of this proposal lies in the presentation of the Robobo Project, a technological tool based on intelligent robotics that supports such formal AI literacy training for a wide range of ages, from secondary school to higher education. The core part of this paper is focused on showing the possibilities the Robobo Project offers to teachers in a simple way, and how it can be adapted to different levels and skills, leading to a long-term educational proposal. Validation results that support the feasibility of this technology in the education about AI, obtained with students and teachers in different educational levels during a period of six years, are presented and discussed."
Metacognitive control during problem solving at early ages in programming tasks using a floor robot,"This research, following a sequential mixed-methods design, delves into metacognitive control in problem solving among 5- to 6-year-olds, using two floor-robot environments. In an initial qualitative phase, 82 pupils participated in tasks in which they directed a floor robot to one of two targets, with the closer target requiring more cognitive effort due to the turns involved. The results of this phase revealed that younger students often rationalised their decisions based on reasons unrelated to the difficulty of the task, highlighting limitations in children’s language and abstract thinking skills and leading to the need for a second quantitative study. In this subsequent stage, involving 117 students, a computerised floor-robot simulator was used. The simulator executed the students’ planned movements and provided feedback on their validity. Each participant had three attempts per problem, with the option to change their target each time. The simulator stored the information pertaining to the chosen resolution path, design of the plan, and re-evaluation of decision making based on the results and feedback received. This study aims to describe the criteria upon which students base their metacognitive control processes in decision making within problem-solving programming tasks. Additionally, through a comparative analysis focusing on age and gender, this research aims to assess the relationship between metacognitive processes and success in problem-solving programming tasks."
Scaffolding Pre-service Science Teachers’ Problem-Solving Strategies in a Methane Gas Detector Task Within an Earthquake-Robotics PD Course,"Educational robotics (ER) has the potential to be a novel approach to teaching geohazards such as earthquakes at the college level. ER, which provides learners with problem-solving settings, requires proficiency in content knowledge and practical application to address ill-defined problems, challenging learners to master problem-solving strategies. Despite several efforts in the existing literature, it is necessary to scaffold the problem-solving strategies comprehensively. This qualitative study investigated the problem-solving strategies of nine pre-service science teachers aligned with a coding scheme containing problem-solving strategies not previously documented together. The participants were assigned to construct a methane gas detector with Tinkercad to mitigate post-earthquake explosion risks for rescue teams in an online robotics-integrated earthquake professional development (PD) course. Qualitative data, including artifacts, observations, and interviews, were analyzed using deductive coding. The results indicated that participants predominantly employed trial and error, expert opinion, and case-based reasoning. They rarely utilized heuristics and intuition and did not use capacity evaluation, prediction, or sketching strategies. Furthermore, the study synthesized different problem-solving strategies into a comprehensive framework, which was used as a coding scheme. This framework helps to clarify problem-solving mechanisms in an ER context, offering a structured approach."
Alphabot2 Revisited: An Educational Tool to Program and Learn Robotics,"In recent years there has been an increasing diversity of educational equipment surrounding the themes of robotics and programming. AlphaBot2 is one of the most comprehensive robots in this field, with great potential for students, especially between ages 15 and 18. In this paper, we tested one of the versions of the Alphabot2 robot that works with Raspberry Pi, which can use Python, a programming language of growing importance in the curriculum of high school students, and that can use, additionally, Linux with ROS. Furthermore, we analyse the opportunities of using it in the context of the different classes and the advantages and pitfalls of selecting it as a tool for learning in the STEAM areas."
Education Robotics in Virtual Environment,"Today, robotic toys and kits are one of the ways to build children’s positive attitude towards technology and robotics, from kindergarten or primary school to university. We take into account not only the age of the learners but also the availability and simplicity of the robots for the youngest students. In the upper grades of primary and secondary schools, pupils gradually work with increasingly complex robots and create more complex programs. At universities, students often design and program real robots that occur in practice. At technical universities, students often design a complete robotic workplace. Robotics is a tool for developing the key competencies of the 21^st century. The task of teachers is not only education, but also the preparation of students for the future and their guidance in choosing a future profession. Robotics develops computer, algorithmic, programming and logical thinking, mathematics and digital literacy, creativity, diligence, manual dexterity, patience and a positive attitude towards technology and self-education. It allows the students and users to make decisions, react to changes, work in a team, present and defend their own ideas and solutions. The article presents specific examples and possibilities of teaching robotics and programming robots in primary school using virtual robots and others virtual programmable kits and toys, which are a suitable tool for teaching construction and programming of robots even in distance education. The use of virtual tools is not a goal, but an emergency solution to a situation when face-to-face teaching must be replaced by a distance study."
"Trends on Gamification, Generative AI, Multidisciplinary Technological Resources, Engineering Education, New Trends in Mechatronics, Diversity Gap in STEM, Laboratories in STEM Education at TEEM 2023","This document presents the Tacks summary of Trends on Gamification, Generative AI, Multidisciplinary Technological Resources, Engineering Education, New Trends in Mechatronics, Diversity Gap in STEM, Laboratories in STEM Education at TEEM 2023, which was held in Bragança (Portugal) from October 25–27. These sessions were held as tracks of the International Conference on Technological Ecosystems for Enhancing Multiculturality (TEEM’23)."
China’s use of virtual and augmented reality music simulators for teaching music,"The revolution in information and communication technology, as well as the development of augmented and virtual reality technologies, open up new avenues for the renewal of music curricula in Chinese universities. The experiment included 205 pianists and 169 drummers in their first year. They were assigned to either the control or experimental groups at random. Pianists used the augmented reality-based VRtuos Pro app ( N  = 103) and drummers used the virtual reality-based Smash Drums app ( N  = 85), while the others worked in a traditional environment with traditional instruments. The control group had higher mean values, and the difference between the groups was statistically significant ( p  = 0.00). In the drummer group, however, the interactive programme resulted in greater skill development and statistical significance ( p  = 0.00). As assessment tools, a 100-point ECTS scale and an expert assessment method were used. The information in this article will be useful to those who intend to use augmented reality or virtual reality music simulators in music universities to enhance the quality of their courses. This article aims, among other things, to spark academic debate about the viability of using augmented and virtual reality technologies in music universities in China and other countries."
"Why Educational Robotics May Support Teachers to Discover, to Develop and to Promote Students’ Talent: The GIF4T Approach","Talent is present in any person as an innate potential to think, design and realize innovation. Thus it is something worth to be recognized and correctly stimulated. This paper aims to relate the development of talents to educational robotics (ER) as a way to promote creativity, autonomy, computational thinking, project-based and collaborative learning, constructionist approach, gamification. The ‘Gruppo Insegnanti Formatori’ (Training Teacher Group - GIF) has established the GIF4T initiative to support talent development through ER within the so called T-Labs. After a pedagogical introduction to the talent concept, the paper presents the structure of a T-Lab and its robotic declination. A T-Lab is essentially based on three stages: teaching, experiential learning and talent exploitation through meetings. Then how robots add some relevant enabling factors is explained. The expected results are confirmed by two short case histories in the very specific situation of a remote telematics implementation of the lab (due to pandemic). Some final remarks and ideas of future works complete the contribution."
A Survey of Embodied Learning for Object-centric Robotic Manipulation,"Embodied learning for object-centric robotic manipulation is a rapidly developing and challenging area in embodied AI. It is crucial for advancing next-generation intelligent robots and has garnered significant interest recently. Unlike data-driven machine learning methods, embodied learning focuses on robot learning through physical interaction with the environment and perceptual feedback, making it especially suitable for robotic manipulation. In this paper, we provide a comprehensive survey of the latest advancements in this field and categorize the existing work into three main branches: 1) Embodied perceptual learning, which aims to predict object pose and affordance through various data representations; 2) Embodied policy learning, which focuses on generating optimal robotic decisions using methods such as reinforcement learning and imitation learning; 3) Embodied task-oriented learning, designed to optimize the robot’s performance based on the characteristics of different tasks in object grasping and manipulation. In addition, we offer an overview and discussion of public datasets, evaluation metrics, representative applications, current challenges, and potential future research directions. A project associated with this survey has been established at https://github.com/RayYoh/OCRM_survey ."
Teaching Practical Robotics During the COVID-19 Pandemic: A Case Study on Regular and Hardware-in-the-Loop Simulations,"Laboratory experiments are important pedagogical tools in engineering courses. Restrictions related to the COVID-19 pandemic made it very difficult or impossible for laboratory classes to take place, resulting on a fast transition to simulation as an approach to guarantee the effectiveness of teaching. Simulation environments are powerful tools that can be adopted for remote classes and self-study. With these tools, students can perform experiments and, in some cases, make use of the laboratory facilities from outside of the University. This paper proposes and describes two free tools developed during the COVID-19 pandemic lock-down that allowed students to work from home, namely a set of simulation experiments and a Hardware-in-the-loop simulator, accessible 24/7. Two approaches in Python and C languages are presented, both in the context of Robotics courses for Engineering students. Successful results and student feedback indicate the effectiveness of the proposed approaches in institutions in Portugal and in the Netherlands."
A ROS-based Open Web Platform for Intelligent Robotics Education,"This paper presents the new release of the Robotics Academy learning framework and the open course on Intelligent Robotics available on it . The framework hosts a collection of practical exercises of robot programming for engineering students and teachers at universities. It has evolved from an open tool, which the users had to install on their machines, to an open web platform, simplifying the user’s experience. It has been redesigned with the adoption of state-of-the-art web technologies and DevOps that make it cross-platform and scalable. The web browser is the new frontend for the users, both for source code editing and for the monitoring GUI of the exercise execution. All the software dependences are already preinstalled in a container, including the Gazebo simulator. The proposed web platform provides a free and nice way for teaching Robotics following the learn-by-doing approach. It is also a useful complement for remote educational robotics."
Using Mobile Applications to Interact with Drones: A Teachers’ Perception Study,"The purpose of this study was to investigate the perceptions of 60 in-service teachers’ regarding the use of drones through mobile applications. After a brief introduction to drones’ applications, practices and operation through mobile apps, the sample completed tasks that required assembling, programming, simulating and flying drones. Data were collected via an online questionnaire using open-ended questions adapted from the Technology Acceptance Model, namely perceived ease of use, perceived usefulness and facilitating conditions. The results showed positive perceptions on using drones through mobile applications. Regarding perceived ease of use, teachers deemed smartphone to drone pairing, programming and simulating mobile apps, and flying the drone to be easy tasks. Regarding perceived usefulness, teachers believed that the use of drones through mobile applications will be useful for them and for their pupils’ learning and will help students to develop a number of skills. Regarding facilitating conditions, teachers indicated the need for teacher training on the pedagogical use of drones, assistance on visual programming and infrastructure support. This study has a number of implications regarding the use of drones through mobile apps in teaching as well as the need for further research on the field of educational aerial robotics."
